link,titulo,precio,tipo_venta,num_banos,superficie,ubicacion,metros_cuadrados,precio_metro_cuadrado,fecha_hora_de_carga
https://www.portalinmobiliario.com/MLC-1434279321-departamento-en-venta-_JM#position=6&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,Departamento En Venta,3650.0,Departamento en venta,1 baño,44 m² útiles,"Reñaca, Viña Del Mar",44,82.95454545454545,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-1416621629-departamento-en-centro-de-renaca-_JM#position=7&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,Departamento En Centro De Reñaca,3000.0,Departamento en venta,1 baño,43 m² útiles,"Reñaca, Viña Del Mar",43,69.76744186046511,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2095841366-depto-1d1beb-con-vista-al-mar-cochoa-12982-_JM#position=8&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,Depto 1d/1b/e/b Con Vista Al Mar Cochoa (12982),3295.0,Departamento en venta,1 baño,37 m² útiles,Depto 1d/1b/e/b Con Vista Al Mar C...,37,89.05405405405405,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-1444113949-lindo-departamento-remodelado-y-amoblado-a-pasos-d-_JM#position=9&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,Lindo Departamento Remodelado Y Amoblado A Pasos D...,3950.0,Departamento en venta,1 baño,60 m² útiles,"Viña Del Mar, Reñaca, Viña Del Mar",60,65.83333333333333,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-1458382261-imperdible-ultimo-precio-por-pago-contado-roi-68-_JM#position=10&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,"Imperdible Último Precio !!! Por Pago Contado (roi 6,8%)",1906.0,Departamento en venta,1 baño,36 m² útiles,Avenida José Manuel Balmaceda 600 ...,36,52.94444444444444,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2135811892-imperdible-buen-precio-buena-ubicacion-rentable-_JM#position=12&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,"Imperdible!!! Buen Precio, Buena Ubicación (rentable)",2996.0,Departamento en venta,1 baño,40 m² útiles,Avenida José Manuel Balmaceda 600 ...,40,74.9,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-1445719647-oportunidad-cercano-a-playa-y-plan-de-renaca-_JM#position=13&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,Oportunidad !!! Cercano A Playa Y Plan De Reñaca,3950.0,Departamento en venta,1 baño,45 m² útiles,"Lynch 65, Viña Del Mar, Chile, Reñ...",45,87.77777777777777,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2204639282-a-una-cuadra-sector-2-de-renaca-_JM#position=14&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,"A Una Cuadra, Sector 2 De Reñaca.",3289.0,Departamento en venta,1 baño,46 m² útiles,"Avenida Borgoño, 14400 - 14700, Re...",46,71.5,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-1455184787-buen-departamento-en-la-playa-_JM#position=15&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,Buen Departamento En La Playa,3132.0,Departamento en venta,1 baño,60 m² útiles,"C. Subida El Encanto 8, Valparaíso...",60,52.2,2024-02-03 12:26:32.470495
https://www.portalinmobiliario.com/MLC-2243353512-oportunidad-de-inversion-playa-renaca-1dorm1bano1est-_JM#position=18&search_layout=grid&type=item&tracking_id=4405f485-e871-45be-a9b2-b2f68436da4b,Oportunidad De Inversión Playa Reñaca!! 1dorm/1baño/1est,2999.0,Departamento en venta,1 baño,55 m² útiles,"Borgoño 14440, Reñaca, Viña Del Mar",55,54.52727272727272,2024-02-03 12:26:32.470495
