url,title,type,published,price,maintenance,size,rooms,broker,address,google_maps_pin,secondary_attributes,description
https://www.portalinmobiliario.com/MLC-1493589421-departamento-en-venta-de-2-dorm-en-vina-del-mar-_JM#position=9&search_layout=grid&type=item&tracking_id=e66ce6dc-fcfd-44bb-b1b2-c882314e8a76,Departamento En Venta De 2 Dorm. En Viña Del Mar,Departamento en Venta,Publicado hace 12 días,UF3.000,Gastos comunes aproximados $ 60.000, 53 m² totales," 2 dormitorios, 2 baños",Easy Prop,"Eduardo Titus 410, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-33.0367248%2C-71.5087318&zoom=16&size=732x300&signature=APxfu_ty0i8k9LMWWsMCoFYvbTU=,"Orientación: -,Piscina: Sí,Admite mascotas: Sí,Antigüedad: 0 años,Bodegas: 0,Ascensor: Sí,Terraza: No,Estacionamientos: 1,Número de piso de la unidad: 5","¡Hola! ¿Te gustaría vivir en la increíble comuna de Viña del Mar? ¡Tenemos la propiedad perfecta para ti! Este departamento en venta se encuentra en el edificio Eduardo Titus 410, en el TRANQUILO sector de Viña del Mar.

Ubicado en villa dulce de viña!!
Este increíble departamento cuenta con 2 dormitorios, perfectos para que puedas descansar y relajarte después de un largo día. Además, cuenta con 2 baños, así que olvídate de las peleas matutinas por el baño. También tiene una superficie de 53 m2 TOTALES, lo cual lo convierte en un espacio acogedor y fácil de mantener.

La ubicación de este departamento es insuperable. A solo minutos encontrarás todo lo que necesitas, desde supermercados, tiendas y restaurantes, hasta parques y playas para disfrutar del aire libre. Además, estarás cerca de la estación de metro y de las principales vías de transporte.

No te pierdas la oportunidad de vivir en esta increíble propiedad en Viña del Mar. ¡Contáctanos hoy mismo para agendar una visita!"
https://www.portalinmobiliario.com/MLC-2521361122-soleado-dpto-5-norte-2-poniente-_JM#position=29&search_layout=grid&type=item&tracking_id=081557db-17d7-42b8-a068-34065eeaaeea,"Soleado Dpto. 5 Norte, 2 Poniente",Departamento en Venta,Publicado hace 3 días,$125.000.000,Gastos comunes aproximados $ 55.000, 74 m² totales," 2 dormitorios, 1 baño",Balbontin Propiedades,"5 Norte 300 - 600, Valparaíso, Viña Del Mar, Chile, Libertad, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-33.0179127%2C-71.552806&zoom=16&size=732x300&signature=To5RpwN2C-_Z__CAXg9ykV2ToHo=,"Orientación: NOSP,Piscina: No,Admite mascotas: Sí,Antigüedad: 30 años,Bodegas: 0,Ascensor: No,Terraza: Sí,Estacionamientos: 0,Número de piso de la unidad: 5","EXCELENTE UBICACIÓNSe vende LINDO departamento ubicado en 5 Norte, Viña del Mar.Cuenta con;2 dormitorios con CLOSET1 baño COMPLETOCOMODA sala de estarCocina INDEPENDIENTE AMOBLADA47 mts2 totales Piso 5Orientación Oriente PonienteTERMOPANELTerrazaValor $125.000.000Gasto común $55.000Contribuciones $25.000 cada 4 MESESNO INCLUYE ESTACIONAMIENTOA pasos del Centro de Viña del Mar, locales comerciales, restaurantes, locomoción colectiva."
https://www.portalinmobiliario.com/MLC-2497999236-venta-departamento-3d432b431estac-isla-picton-vina-del-_JM#position=39&search_layout=grid&type=item&tracking_id=28246c97-0dd0-4fb9-a288-bbf15a707372,Venta Departamento 3d+2b+1estac Isla Picton Viña Del,Departamento en Venta,Publicado hace 14 días,$89.000.000,Gastos comunes aproximados $ 70.000, 60 m² totales," 3 dormitorios, 2 baños",Unne,"Isla Picton 280, Viña Del Mar, Valparaíso",https://maps.googleapis.com/maps/api/staticmap?client=gme-mercadolibre&maptype=roadmap&scale=1&format=jpg&center=-33.0372948%2C-71.5150302&zoom=16&size=732x300&signature=V4M6WMl6TMrpk7kaNLybM7F9M1M=,"Orientación: Sur,Piscina: Sí,Admite mascotas: Sí,Antigüedad: 0 años,Bodegas: 0,Ascensor: No,Terraza: No,Estacionamientos: 1,Número de piso de la unidad: 0","Se vende departamento en Isla Picton, Viña del Mar.
Locomoción colectiva muy cercana, con 2 accesos, por 1 norte e isla picton.
Cercana a universidad Santo Tomas.
* Características:
- Piso 3
